[0.000000] (-) TimerEvent: {}
[0.000521] (-) JobUnselected: {'identifier': 'composition_cpp'}
[0.000595] (-) JobUnselected: {'identifier': 'cpp_parameters'}
[0.000637] (-) JobUnselected: {'identifier': 'cpp_pubsub'}
[0.000669] (-) JobUnselected: {'identifier': 'cpp_srvcli'}
[0.000705] (-) JobUnselected: {'identifier': 'custom_action_cpp'}
[0.000735] (-) JobUnselected: {'identifier': 'custom_action_interfaces'}
[0.000763] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000791] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000818] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000845] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000873] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000901] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000928] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000955] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000982] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.001009] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.001036] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.001063] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.001090] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.001130] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.001159] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.001186] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.001213] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.001240] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.001267] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.001294] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.001345] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.001396] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.001425] (-) JobUnselected: {'identifier': 'more_interfaces'}
[0.001453] (-) JobUnselected: {'identifier': 'my_package'}
[0.001480] (-) JobUnselected: {'identifier': 'my_python_package'}
[0.001507] (-) JobUnselected: {'identifier': 'polygon_base'}
[0.001534] (-) JobUnselected: {'identifier': 'polygon_plugins'}
[0.001561] (-) JobUnselected: {'identifier': 'py_pubsub'}
[0.001589] (-) JobUnselected: {'identifier': 'py_srvcli'}
[0.001615] (-) JobUnselected: {'identifier': 'python_parameters'}
[0.001642] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.001669] (-) JobUnselected: {'identifier': 'tutorial_interfaces'}
[0.001696] (-) JobUnselected: {'identifier': 'vincent_driver'}
[0.001724] (-) EventReactorShutdown: {}
